age,gender,purchase_amount,tenure,churn
67,Male,1370987.2,49,0
41,Female,1452216.13,91,1
32,Male,1376691.78,87,0
18,Male,1595624.6,2,0
33,Female,1427188.21,72,0
39,Male,1564946.6,119,0
26,Male,1637351.9,42,0
20,Male,1631169.94,53,0
60,Female,1650069.6,106,0
33,Male,1831054.39,109,0
22,Female,922031.34,15,1
30,Male,1489584.45,6,0
68,Female,1334400.46,84,0
27,Female,1519913.48,77,0
45,Male,1673351.3,107,0
29,Male,1496255.86,114,0
59,Male,1229549.26,77,1
26,Male,1814023.6,59,0
29,Female,1474358.19,16,1
55,Female,1725689.73,59,0
61,Female,1513399.36,98,0
60,Male,1153955.85,89,1
27,Male,1203807.1,35,1
59,Female,1540321.61,59,0
31,Female,1616323.51,64,0
61,Female,1350903.34,66,0
28,Female,1406786.61,57,1
45,Female,1101065.29,83,1
34,Male,1204702.48,44,1
63,Male,1426714.36,7,0
29,Male,1564689.45,20,0
38,Male,1554160.3,75,0
43,Female,1751468.09,97,0
44,Female,1571530.22,42,0
50,Male,1741698.1,55,0
26,Male,1544561.53,95,0
36,Female,1320505.83,67,1
23,Female,1624190.13,70,0
40,Male,1644784.1,31,0
18,Female,1443492.92,119,0
59,Female,1318345.92,62,1
69,Male,1592416.93,100,0
27,Female,1454141.44,21,1
45,Male,1646193.47,75,0
51,Male,1511955.71,14,0
39,Female,1541040.43,49,0
20,Female,1429913.09,10,1
69,Male,1709922.55,92,0
44,Male,1659630.25,103,0
20,Female,1601991.07,62,0
63,Male,1308742.92,19,0
31,Male,1483104.14,113,1
46,Male,1462992.94,92,0
66,Female,1287526.12,93,0
49,Male,1359655.46,43,0
55,Female,1217438.9,18,1
32,Female,1376750.02,87,0
25,Female,1441428.79,17,1
43,Male,1381417.38,77,1
62,Female,1724148.11,8,0
30,Female,1367811.68,29,1
49,Male,1577094.2,30,0
30,Male,1078565.6,21,1
51,Female,1706034.38,42,0
37,Female,1230087.21,87,0
49,Male,1576977.15,51,1
66,Female,1242982.79,43,1
52,Female,1505769.23,50,0
39,Male,1253860.79,14,1
41,Male,1289172.09,117,0
43,Male,1636597.84,6,1
26,Male,1735943.73,24,0
60,Male,1632169.52,73,0
25,Female,1628965.41,94,0
61,Male,1512441.68,106,0
67,Female,1696677.56,52,0
23,Male,1537921.06,98,0
47,Female,1842269.06,21,0
61,Male,1571398.94,49,0
32,Male,1344978.05,100,0
59,Female,1144027.93,45,1
21,Female,1581931.01,34,0
61,Male,1353318.55,26,1
31,Male,1603120.49,35,0
31,Female,1458417.94,105,0
55,Female,1449947.39,36,0
25,Female,1477253.71,97,0
41,Female,1545203.9,64,0
62,Male,1361309.18,29,0
56,Male,1447263.19,16,0
20,Female,1630077.15,9,0
49,Female,1302212.15,112,0
39,Female,1600673.45,48,0
47,Male,1618666.41,4,0
35,Female,1648128.35,11,0
28,Male,1537933.69,104,0
53,Female,1364744.72,5,0
69,Female,1879870.65,28,0
32,Female,1412628.92,85,0
18,Female,1410855.99,35,1
18,Female,1302187.94,12,1
52,Male,1693813.33,61,0
18,Female,1525003.44,85,0
45,Male,1263148.91,6,1
54,Male,1578648.03,69,0
66,Male,1411988.61,22,0
58,Female,1322975.81,1,1
24,Female,1634236.13,65,0
57,Female,1400745.41,29,0
62,Male,1628868.93,74,0
33,Female,1405267.1,33,0
36,Female,1427838.32,22,1
63,Male,1223238.87,13,0
36,Female,1422280.03,15,0
23,Female,1350276.93,90,1
45,Female,1540747.7,91,0
68,Female,1581646.68,111,0
59,Female,1389664.45,55,0
50,Female,1925590.37,51,0
67,Male,1501411.22,78,0
36,Male,1705816.87,69,0
30,Male,1553810.46,101,0
20,Male,1612880.7,28,0
40,Male,1739089.99,76,0
29,Female,1552114.21,97,0
18,Male,1451174.65,59,0
34,Male,1562743.12,36,0
47,Female,1509277.88,63,0
45,Male,1671222.72,37,0
19,Male,1509587.39,84,0
50,Male,1240517.54,111,0
37,Male,1394538.33,117,0
44,Male,1690245.26,79,0
21,Female,1607044.0,90,0
60,Male,1214721.83,46,0
26,Male,1468265.93,30,0
50,Female,1628519.94,101,0
54,Male,1366398.64,92,0
30,Female,1950192.44,27,0
32,Male,1322815.72,23,0
29,Male,1534947.18,45,0
23,Male,1837154.8,19,0
69,Male,1583561.58,108,0
69,Male,1609765.02,46,0
44,Male,1602742.65,80,0
51,Male,1565861.82,25,0
22,Female,1574649.31,31,1
61,Male,1696248.57,45,0
62,Male,1627352.67,36,0
24,Male,1321347.9,76,0
21,Female,1632350.91,88,0
48,Male,1561286.67,83,0
43,Male,1506578.9,115,0
56,Female,1359468.03,37,1
37,Male,1253358.13,43,0
56,Female,1430504.42,109,0
40,Female,1529781.65,91,0
34,Female,1289269.57,116,1
64,Female,1353655.91,92,0
62,Female,1597408.56,83,0
42,Female,1522743.01,46,1
23,Female,1677818.36,66,0
61,Female,1602250.02,26,0
49,Female,1389097.06,76,0
50,Female,1329644.99,48,0
20,Female,1625974.09,15,0
28,Male,1597242.09,56,0
65,Male,1762593.79,31,0
62,Male,1389651.28,95,0
62,Female,1616604.93,72,0
68,Male,1798147.82,32,0
68,Female,1635142.81,115,0
62,Female,1476236.52,77,0
65,Female,1555835.97,103,0
67,Female,1457158.47,90,0
45,Male,1601960.48,111,0
34,Female,1595959.22,114,0
24,Male,1873403.17,100,0
32,Female,1318411.34,78,1
62,Male,1609907.89,27,0
65,Female,1381096.58,7,0
61,Female,1460438.59,107,0
36,Male,1415388.61,39,0
42,Male,1664003.69,96,0
59,Male,1355924.26,5,0
30,Female,1517986.76,14,1
50,Male,1314947.14,117,0
42,Male,1049598.98,30,1
57,Female,1365454.49,40,0
36,Female,1550424.58,53,0
50,Female,1493490.83,24,1
43,Male,1507618.31,9,0
52,Female,1542731.2,50,0
61,Female,1238866.14,30,0
29,Male,1880099.1,113,0
56,Male,1439325.55,115,0
25,Female,1651630.0,79,0
24,Female,1955331.49,43,0
19,Female,1648704.42,10,1
43,Male,1340497.94,48,0
62,Male,1508368.87,72,0
30,Female,1432244.72,112,0
69,Female,1343097.99,108,0
37,Female,1137471.51,117,0
42,Female,1423267.5,77,0
34,Female,1300972.6,112,0
40,Male,1122044.63,83,0
41,Female,1164984.05,52,1
32,Female,1683321.98,17,0
63,Male,1484086.75,115,0
55,Male,1840233.62,8,0
51,Male,1610223.76,84,0
35,Male,1487673.59,96,0
37,Female,1443641.26,21,1
18,Male,1520056.16,74,0
37,Male,1817869.01,104,0
44,Male,1697012.55,43,0
34,Female,1474232.04,9,1
30,Female,1564811.23,108,0
62,Male,1474590.21,4,0
19,Female,1552877.28,19,0
67,Male,1662110.53,64,0
49,Female,1468696.68,14,0
64,Male,1315536.2,19,0
50,Female,1158977.71,88,1
19,Female,1565751.23,13,0
27,Male,1454422.06,54,0
55,Female,1253057.93,111,0
40,Male,1822924.21,35,0
67,Female,1587932.59,107,0
57,Male,1420254.88,104,0
35,Male,1795183.05,66,0
56,Male,1309599.18,68,0
69,Female,1410172.33,42,0
63,Male,1619735.07,72,0
55,Male,1729075.68,82,0
35,Male,1416300.17,2,1
47,Female,1396020.93,56,0
63,Female,1109796.95,30,1
45,Male,2045154.54,5,0
41,Male,1569169.88,42,0
62,Female,1192857.72,47,1
56,Male,1070437.36,62,1
58,Male,1698054.4,118,0
69,Male,1475427.06,70,0
24,Male,1772943.14,21,0
34,Female,1599904.59,76,0
65,Female,1834739.44,95,0
61,Male,1668607.38,93,0
58,Female,1460611.82,116,0
35,Female,1194550.59,36,1
28,Female,1722804.2,58,0
66,Female,1683928.29,13,0
63,Male,1680462.56,86,0
65,Female,1372890.36,17,1
59,Male,1013795.13,25,1
21,Male,1596194.96,89,0
32,Male,1511227.79,47,0
22,Male,1576352.89,117,0
24,Male,1556200.74,14,1
41,Male,1125264.19,62,1
43,Female,1349613.09,56,0
42,Male,1231610.2,28,1
43,Male,1720135.58,51,0
26,Female,1416486.29,6,0
56,Female,1353403.3,24,1
28,Female,1514828.14,37,1
59,Male,1679667.45,70,0
68,Female,1084004.77,18,1
36,Female,1613400.71,64,0
33,Male,1610979.08,24,0
40,Male,1627712.94,38,0
29,Male,1338090.66,100,0
29,Female,1688729.2,2,0
48,Female,1762256.36,49,0
49,Female,1378511.71,33,0
40,Female,1709118.97,54,0
19,Male,1126620.44,57,1
65,Male,1664010.57,80,0
36,Female,1557370.52,3,0
41,Female,1529403.83,73,0
40,Female,1225952.95,77,1
39,Male,1735672.44,66,0
21,Male,1692342.45,44,0
21,Female,1543708.55,68,0
21,Female,1613275.93,84,0
25,Male,1208104.87,14,0
41,Male,1620226.97,76,0
44,Male,1656183.88,73,0
52,Male,1329431.41,2,1
67,Male,1186350.49,2,1
41,Female,1709913.68,66,0
57,Female,1489488.16,107,0
27,Female,1686887.75,70,0
41,Female,1362506.46,46,1
18,Male,1698595.41,61,0
38,Female,1203314.24,94,1
48,Female,1630057.38,23,0
55,Male,1845355.61,45,0
61,Male,1727931.15,5,0
45,Male,1350675.76,31,0
56,Male,1302374.87,95,0
62,Female,1506704.51,91,0
48,Female,1458893.77,13,0
18,Male,1827626.26,34,1
33,Male,1533514.45,33,0
29,Female,1788610.77,49,0
53,Female,1227768.0,48,1
44,Male,1807262.11,31,0
28,Male,1816001.24,77,0
63,Female,1638728.1,29,0
34,Female,1640353.59,112,0
28,Female,1542739.19,10,1
21,Female,1435047.67,9,0
55,Female,1213100.6,89,0
69,Male,1406104.85,117,0
68,Male,1437915.85,32,0
67,Male,1471866.01,64,0
43,Male,1552386.94,20,0
51,Male,1144994.47,71,1
49,Female,1539066.16,19,0
28,Female,1213540.09,98,1
21,Male,1295279.92,79,0
53,Male,1489091.14,23,0
54,Male,1807952.47,1,0
38,Female,1600891.4,74,0
46,Male,1184755.79,95,1
60,Male,1514884.14,99,0
30,Male,1508224.37,96,0
35,Male,1532596.94,32,0
54,Female,1703384.64,78,0
26,Female,1437229.15,108,0
49,Female,1706679.09,97,0
24,Female,1707563.26,55,0
20,Female,1454312.89,98,0
41,Male,1492195.6,119,0
49,Female,1420231.8,35,0
68,Female,1458609.71,54,0
64,Female,1670768.63,27,1
30,Male,1696002.76,36,0
50,Male,1687110.87,71,0
42,Male,1536376.29,83,0
25,Male,1387004.47,56,0
29,Female,1974466.39,33,0
58,Female,1635581.01,25,1
43,Male,1051108.13,115,0
51,Female,1628221.02,116,0
59,Female,1512339.66,111,0
43,Female,1497582.22,20,0
41,Female,1508393.53,103,0
35,Male,1070107.25,80,0
48,Male,1576380.18,51,0
26,Female,1393178.07,79,0
24,Male,1327497.57,77,0
52,Female,1595988.79,115,0
44,Male,1449870.43,9,0
37,Male,1513077.47,5,0
69,Female,1500740.49,6,0
25,Female,1863546.4,39,0
49,Male,1414420.59,80,0
44,Male,1593135.28,4,1
42,Female,1639162.51,35,0
61,Female,1591273.17,31,0
51,Male,1638025.26,53,0
26,Female,1682121.17,101,0
60,Male,1708804.22,114,0
56,Male,1719021.52,75,0
28,Male,1719908.85,33,0
54,Male,1625151.45,80,1
57,Female,1346316.66,48,0
22,Female,1785172.84,57,0
64,Male,1595324.06,7,0
49,Female,1693332.12,27,0
66,Male,1501671.85,83,0
18,Female,1563963.56,96,0
60,Female,1834640.81,56,0
29,Male,1525503.23,83,0
59,Female,1243159.4,52,1
56,Female,1076086.92,25,1
38,Male,1596376.34,68,0
56,Male,1745741.42,37,0
55,Male,1967020.47,118,0
55,Male,1363490.21,118,0
29,Male,1468629.98,44,0
53,Male,1762893.06,19,0
19,Male,1231325.29,14,1
38,Female,1238234.91,57,1
34,Male,1782295.08,107,0
57,Female,1155786.47,3,1
61,Female,1699964.27,118,0
18,Male,1568458.95,9,0
35,Male,1664950.27,51,0
38,Female,1864706.72,56,0
63,Male,1838450.35,13,0
55,Female,1434904.49,64,0
37,Male,1232642.59,19,0
35,Female,1608896.75,15,0
41,Male,1132627.75,104,0
57,Female,1479287.57,35,1
46,Male,1248459.34,58,0
44,Male,1534480.85,113,0
68,Female,1644882.31,96,0
34,Female,1259920.37,84,1
58,Female,1337630.18,22,1
69,Female,1164812.46,50,0
55,Female,1356600.38,90,0
38,Female,1540193.4,110,1
24,Male,1402369.28,108,0
26,Female,1371019.23,49,0
28,Male,1552856.66,88,0
56,Male,1900332.37,99,0
55,Male,1745177.23,27,0
33,Male,1556871.52,74,0
68,Male,1854415.72,27,0
69,Female,1425470.44,70,0
69,Female,1517683.15,83,0
33,Male,1769787.1,95,0
27,Male,1738294.24,56,0
21,Male,1548712.61,114,0
60,Female,1315585.32,48,0
52,Female,1410125.17,15,0
51,Male,1244226.55,103,0
36,Female,1235730.0,119,1
66,Male,1466186.39,114,0
62,Female,1426242.31,84,1
45,Female,1461644.58,89,0
45,Male,1771734.23,27,0
56,Female,1765299.9,43,0
64,Female,1600121.64,61,0
68,Male,1469247.6,4,0
39,Male,1293884.95,114,0
38,Female,1496589.15,22,0
40,Male,1515494.38,24,0
59,Female,1121237.23,82,1
28,Male,1675376.81,114,0
39,Female,1136338.84,52,1
29,Female,1358601.14,119,0
55,Female,1586922.22,44,1
53,Female,1506090.28,64,0
28,Male,1623871.86,65,0
51,Male,1433581.03,14,0
65,Female,1475648.89,114,0
53,Male,1564214.26,61,0
31,Female,1611185.76,104,0
45,Female,1414792.09,26,1
65,Female,1439869.46,89,0
58,Male,1664513.58,76,0
36,Male,1338328.47,51,1
49,Female,1381816.52,108,0
63,Female,1317057.46,51,0
55,Female,1383587.42,81,0
59,Male,1620974.2,73,0
28,Female,1308243.06,61,1
37,Male,1628230.01,71,0
47,Male,1375259.49,71,0
35,Female,1512226.49,97,0
64,Male,1366206.44,104,0
41,Female,1288185.97,11,1
19,Male,1423921.73,68,0
56,Male,1654748.61,112,0
24,Female,1444278.22,74,0
51,Male,1617945.02,39,0
26,Male,1430562.81,5,1
48,Female,1722587.16,8,0
51,Female,1695087.52,26,0
68,Male,1534724.85,41,0
62,Female,1344956.62,119,0
67,Male,1298983.98,80,0
56,Male,1392960.41,59,0
62,Female,1333746.5,80,0
25,Female,1145690.5,49,1
69,Female,1639304.66,92,0
41,Female,1281036.45,39,1
41,Male,1753601.98,85,0
19,Female,1459998.27,102,0
38,Female,1194678.32,111,1
51,Female,1161234.87,102,1
40,Male,1956090.91,38,0
53,Male,1223541.82,34,0
42,Male,1333537.76,92,0
62,Female,1209509.17,113,0
26,Male,1626966.23,28,0
56,Female,1600471.74,31,0
26,Female,1217144.7,67,1
31,Male,1544258.46,51,0
18,Female,1193249.92,114,1
63,Female,1034074.52,93,0
20,Male,1714828.94,59,0
39,Female,1753832.53,48,0
49,Female,1830787.88,45,0
18,Female,1797956.28,56,0
69,Female,1616285.96,17,0
22,Female,1499973.15,17,0
28,Female,1374380.61,85,0
55,Female,1728574.18,99,1
45,Female,1643972.51,31,0
18,Female,987397.33,104,1
58,Male,1681559.19,23,0
33,Female,1563586.77,101,0
26,Female,1318767.88,35,1
21,Male,1631418.0,107,0
23,Female,1343968.47,110,0
68,Female,1753983.55,114,0
32,Male,1790413.58,34,0
55,Male,1535150.7,100,0
18,Male,1662510.15,27,0
19,Female,1838296.18,96,0
34,Female,1476007.34,3,1
61,Female,1619970.28,102,0
66,Female,1189973.58,12,1
45,Male,1725781.04,53,1
66,Female,1389038.07,99,0
38,Female,1275696.1,107,0
38,Male,1362011.51,108,0
33,Male,1298376.22,55,0
39,Female,1678428.25,61,0
57,Female,1169893.49,54,1
56,Female,1291240.31,28,1
64,Male,1627445.72,4,0
38,Male,1614734.09,55,0
29,Male,1573432.24,27,0
55,Male,1726038.41,69,0
56,Female,1855754.35,81,0
31,Female,1130272.98,3,1
21,Male,1351004.96,41,1
38,Female,1853651.71,117,0
49,Female,1192164.84,26,1
51,Female,1415765.44,39,0
44,Male,1728312.94,97,0
66,Female,1696421.08,23,0
56,Male,1690511.34,22,0
56,Male,1638734.05,1,0
19,Female,1670360.32,113,0
66,Female,1578096.09,90,1
18,Male,1579103.65,114,0
37,Female,1134856.92,95,1
45,Male,1429209.55,87,0
26,Female,1889587.86,31,0
50,Male,1700586.24,50,0
28,Male,1335924.89,42,0
39,Male,1769066.49,23,0
45,Male,1346001.6,67,0
25,Female,1633777.07,15,0
33,Female,1735431.44,33,0
31,Male,1184941.28,31,1
48,Male,1445850.86,37,1
56,Male,1597546.47,47,0
34,Female,1678684.22,97,0
34,Female,1605543.45,62,1
69,Male,1923759.25,50,0
42,Female,1696624.02,114,0
29,Male,1889325.06,96,0
45,Male,1465581.51,44,0
51,Male,1521392.72,110,0
21,Male,1410473.25,108,0
38,Female,1885603.92,71,0
29,Male,1250964.74,55,0
64,Female,1456403.22,98,0
35,Female,960391.64,88,1
18,Male,1750969.9,99,0
31,Male,1187108.46,113,0
50,Female,1404641.49,26,1
59,Female,1757935.43,26,0
35,Male,1524386.85,103,0
40,Female,2079340.79,39,0
35,Female,1260365.89,21,1
60,Male,1572141.71,50,0
59,Female,1490556.99,13,0
43,Female,1722836.7,102,0
31,Male,1441562.95,90,0
41,Male,1519549.28,113,0
18,Male,1408336.59,6,0
47,Female,1735601.14,102,0
47,Male,1296858.64,57,1
62,Male,1356128.33,92,0
49,Male,1599365.91,6,0
40,Female,1229993.35,27,1
69,Male,1268278.76,20,0
66,Female,1237172.62,99,0
66,Male,1780361.78,13,0
63,Female,1568748.99,57,1
69,Male,1453235.27,119,0
24,Female,1242713.68,43,1
42,Female,1859604.44,40,0
30,Female,1588432.83,31,0
18,Male,1423186.14,24,0
23,Male,1694847.99,89,0
43,Female,1564760.68,68,0
48,Male,1362253.6,91,0
63,Male,1042332.91,71,1
68,Male,1469497.06,40,1
28,Female,1681089.18,33,0
39,Female,1384477.21,66,0
31,Male,1335071.83,99,0
33,Male,1203170.14,71,0
28,Male,1197390.7,72,0
39,Male,1551676.42,88,0
28,Male,1489900.85,109,1
50,Female,1827744.6,99,0
38,Female,1520188.21,75,0
42,Male,1245270.37,36,1
62,Female,1207362.6,117,1
21,Male,1567024.32,93,0
41,Male,1429993.05,38,1
68,Male,1462576.17,56,0
63,Male,1104573.86,41,1
23,Male,1626079.95,31,0
62,Female,1510542.07,20,1
60,Male,1269545.26,31,0
37,Female,1634454.44,42,0
28,Female,1511542.09,115,0
29,Male,1466271.26,17,0
19,Male,1508527.49,90,0
43,Male,1464209.44,20,1
36,Female,1233399.83,49,1
25,Female,1438335.57,95,0
60,Female,1324727.39,17,1
47,Male,1428536.65,21,0
28,Male,1353746.05,8,1
29,Female,1607676.42,49,0
34,Male,1423366.68,1,0
31,Female,1505848.49,45,0
40,Female,1565938.42,34,0
65,Male,1344023.34,94,0
20,Female,1755498.45,70,0
43,Female,1436100.77,106,1
43,Female,1623291.63,71,0
33,Female,1360370.47,80,0
69,Female,1188961.54,44,0
24,Female,1415542.9,63,0
38,Female,1448382.93,34,0
48,Female,1369134.17,84,0
51,Male,1370481.28,72,0
62,Male,1672017.5,15,0
24,Male,1094160.53,116,1
60,Male,1329705.17,67,0
46,Female,1270077.45,60,0
19,Female,1527017.98,115,0
68,Male,1435779.12,103,0
64,Female,1415640.76,41,0
32,Male,1606254.81,82,0
55,Male,1565581.74,59,0
67,Male,1506991.11,38,0
66,Male,1726544.65,97,0
66,Male,1308996.81,12,1
49,Male,1588268.29,100,0
65,Male,1596891.61,78,0
21,Female,1435544.91,24,0
48,Male,1576527.54,51,0
45,Female,1530994.9,58,0
36,Female,1095174.93,116,1
48,Male,1420882.99,107,1
18,Male,1422193.05,11,0
64,Male,1424096.15,55,0
67,Male,1521624.05,23,0
41,Male,1535932.3,28,0
47,Female,1218707.42,7,1
57,Female,1618750.68,66,0
60,Male,1425166.28,20,0
38,Female,1654163.61,6,1
18,Female,1674625.66,51,0
54,Female,1337486.16,78,0
37,Male,1412613.57,41,1
68,Female,1536089.95,85,0
60,Female,1282803.32,79,0
44,Male,1551587.04,81,0
27,Male,2016138.79,31,0
49,Male,1428481.48,48,0
65,Female,1390071.67,40,0
68,Female,1618319.36,71,0
66,Male,1265367.59,53,0
29,Female,1583041.81,27,0
38,Female,1783400.95,91,0
69,Male,1645599.42,117,0
61,Male,1397996.46,101,0
52,Female,1551728.21,21,0
18,Male,1498144.81,85,0
51,Female,1590477.65,41,0
65,Male,1703517.14,91,0
55,Female,1363265.07,89,1
26,Female,1428803.0,73,0
64,Male,1802842.72,70,0
61,Female,1521910.33,3,1
57,Female,1616104.99,65,0
18,Female,1446591.49,47,1
37,Male,1489773.07,63,1
32,Female,1815769.15,37,0
45,Male,1306201.74,73,0
35,Male,1837816.43,22,0
52,Male,1444914.27,38,0
53,Female,1781970.15,24,0
56,Male,1469549.5,104,0
40,Female,1322645.67,43,0
27,Female,1397794.87,2,0
45,Female,1625594.6,95,0
50,Female,1530954.94,55,0
23,Female,1682599.91,12,0
25,Female,1381849.55,101,0
20,Female,1284621.22,3,1
19,Female,1615587.74,69,0
55,Female,1512966.86,118,0
25,Female,1146607.81,41,1
18,Female,1709050.24,72,0
21,Female,1495357.92,78,0
43,Male,1545084.43,40,0
66,Male,1429546.26,68,0
51,Female,1859090.64,41,1
31,Female,1035565.55,6,1
38,Male,1205068.3,10,1
67,Male,1434723.87,11,0
33,Male,1619643.19,75,0
63,Female,1541634.62,36,1
29,Female,1829694.62,52,0
29,Male,1533353.29,11,1
36,Male,1631348.74,78,0
29,Female,1265944.71,2,0
66,Female,1451498.2,48,0
34,Male,1381026.53,107,0
39,Male,1357202.61,23,0
48,Female,1249855.49,25,1
59,Male,1526147.73,5,0
26,Male,1351161.33,93,0
46,Male,1619333.23,60,0
35,Female,1965458.84,2,0
52,Male,1563532.47,24,0
54,Female,1364937.12,70,1
57,Male,1607082.9,12,0
65,Male,1559724.25,93,0
32,Male,1542023.6,77,0
19,Female,1598491.4,78,0
25,Male,1336627.37,102,0
54,Female,1098361.51,84,1
62,Male,1374992.54,89,0
55,Male,1722125.63,30,0
47,Male,1328103.48,36,1
28,Female,1472636.68,30,0
24,Male,1700520.57,14,0
27,Male,1474816.04,21,0
22,Female,1556932.53,85,0
63,Male,1446052.78,45,0
25,Male,1248834.86,61,1
48,Female,1496973.63,86,0
68,Male,1657558.51,21,0
27,Female,1537060.54,24,0
49,Female,1762916.11,34,0
30,Male,1307923.53,15,1
69,Male,1830015.51,38,0
55,Male,1516526.23,7,1
29,Female,1465059.07,42,1
29,Female,1317048.93,11,1
50,Female,1453632.09,75,0
60,Female,1633246.27,95,0
30,Male,1710388.99,96,0
68,Female,1955548.95,111,0
40,Female,1454810.63,59,0
49,Male,1653938.67,73,0
57,Male,1344002.44,109,0
50,Male,1694463.28,115,1
38,Female,1290647.88,60,0
63,Female,1215838.16,41,0
46,Female,1318471.62,57,0
22,Female,1773061.74,88,0
40,Male,1590403.72,38,0
47,Female,1510297.71,2,0
37,Male,1387715.68,31,0
28,Male,1308652.45,27,0
41,Male,1121252.95,101,0
42,Female,1567669.69,65,0
29,Male,1258897.32,93,0
67,Male,1792144.36,109,0
38,Female,1815793.06,20,0
30,Female,1086412.6,95,1
23,Female,1695747.06,89,0
69,Female,1726647.17,31,0
42,Male,1542454.95,114,0
32,Male,1456443.53,61,0
35,Male,1369129.33,81,0
35,Male,1579284.23,74,0
54,Male,1324529.81,51,0
18,Male,1624772.57,30,0
36,Female,1610074.39,29,0
49,Female,1310123.2,33,0
44,Male,1232596.04,5,1
46,Female,1339280.52,28,0
40,Female,1751100.61,71,0
47,Female,1172136.44,104,0
57,Female,1620300.48,10,0
56,Female,1140188.51,63,1
58,Male,1735411.32,75,0
37,Female,1218310.79,24,1
42,Male,1106150.88,35,1
37,Female,1353960.06,70,0
39,Female,1561741.54,67,0
20,Male,1619664.7,32,0
32,Male,1600047.85,40,1
67,Female,1721358.19,103,0
25,Female,1397449.78,112,0
24,Female,926255.97,57,1
26,Female,1269798.84,28,1
34,Male,1328920.43,110,0
